title,year,score_x,rotten_tomatoes_score,imdb_score,runtime,rating,genre,gross,director,actors,decade
The Jungle Book,1967,88%,8.8,7.6,78.0,G,"['Animation', 'Adventure', 'Comedy']",195202,['Wolfgang Reitherman'],"['Phil Harris', 'Sebastian Cabot', 'Louis Prima', 'Bruce Reitherman']",1960
Mary Poppins,1964,96%,9.6,7.8,139.0,G,"['Comedy', 'Family', 'Fantasy']",182616,['Robert Stevenson'],"['Julie Andrews', 'Dick Van Dyke', 'David Tomlinson', 'Glynis Johns']",1960
The Sword in the Stone,1963,68%,6.8,7.1,79.0,G,"['Animation', 'Adventure', 'Comedy']",104694,"['Wolfgang Reitherman', 'Clyde Geronimi', 'David Hand']","['Rickie Sorensen', 'Sebastian Cabot', 'Karl Swenson', 'Junius Matthews']",1960
The Parent Trap,1961,90%,9.0,7.2,129.0,Passed,"['Comedy', 'Family', 'Romance']",23452,['David Swift'],"['Hayley Mills', ""Maureen O'Hara"", 'Brian Keith', 'Charles Ruggles']",1960
Pollyanna,1960,86%,8.6,7.4,134.0,Approved,"['Comedy', 'Drama', 'Family']",11128,['David Swift'],"['Jane Wyman', 'Hayley Mills', 'Richard Egan', 'Karl Malden']",1960
Swiss Family Robinson,1960,82%,8.2,7.1,126.0,G,"['Adventure', 'Family']",17782,['Ken Annakin'],"['John Mills', 'Dorothy McGuire', 'James MacArthur', 'Janet Munro']",1960
Sleeping Beauty,1959,89%,8.9,7.2,75.0,G,"['Animation', 'Adventure', 'Family']",158245,"['Les Clark', 'Clyde Geronimi', 'Eric Larson', 'Wolfgang Reitherman', 'Hamilton Luske']","['Mary Costa', 'Bill Shirley', 'Eleanor Audley', 'Verna Felton']",1950
Old Yeller,1957,100%,10.0,7.2,83.0,Approved,"['Adventure', 'Drama', 'Family']",14784,['Robert Stevenson'],"['Dorothy McGuire', 'Fess Parker', 'Tommy Kirk', 'Jeff York']",1950
Lady and the Tramp,1955,93%,9.3,7.3,76.0,G,"['Animation', 'Adventure', 'Comedy']",145580,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske', 'Jack Cutting']","['Barbara Luddy', 'Larry Roberts', 'Peggy Lee', 'Bill Thompson']",1950
"20,000 Leagues Under the Sea",1954,90%,9.0,7.2,127.0,G,"['Adventure', 'Drama', 'Family']",36465,['Richard Fleischer'],"['Kirk Douglas', 'James Mason', 'Paul Lukas', 'Peter Lorre']",1950
Peter Pan,1953,77%,7.7,7.3,77.0,G,"['Animation', 'Adventure', 'Family']",150338,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske', 'Jack Kinney']","['Bobby Driscoll', 'Kathryn Beaumont', 'Hans Conried', 'Bill Thompson']",1950
Alice in Wonderland,1951,84%,8.4,7.3,75.0,G,"['Animation', 'Adventure', 'Comedy']",151168,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske', 'Jack Kinney']","['Kathryn Beaumont', 'Ed Wynn', 'Richard Haydn', 'Sterling Holloway']",1950
Cinderella,1950,98%,9.8,7.3,74.0,G,"['Animation', 'Family', 'Fantasy']",171140,"['Clyde Geronimi', 'Wilfred Jackson', 'Hamilton Luske']","['Ilene Woods', 'James MacDonald', 'Eleanor Audley', 'Verna Felton']",1950
Bambi,1942,91%,9.1,7.3,69.0,G,"['Animation', 'Adventure', 'Drama']",151673,"['James Algar', 'Samuel Armstrong', 'David Hand', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright', 'Arthur Davis', 'Clyde Geronimi']","['Hardie Albright', 'Stan Alexander', 'Bobette Audrey', 'Peter Behn']",1940
Dumbo,1941,95%,9.5,7.2,64.0,G,"['Animation', 'Adventure', 'Drama']",139883,"['Samuel Armstrong', 'Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Bill Roberts', 'Ben Sharpsteen', 'John Elliotte']","['Sterling Holloway', 'Edward Brophy', 'Herman Bing', 'Billy Bletcher']",1940
Fantasia,1940,95%,9.5,7.7,124.0,G,"['Animation', 'Family', 'Fantasy']",102214,"['James Algar', 'Samuel Armstrong', 'Ford Beebe Jr.', 'Norman Ferguson', 'David Hand', 'Jim Handley', 'T. Hee', 'Wilfred Jackson', 'Hamilton Luske', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen']","['Leopold Stokowski', 'Deems Taylor', 'The Philadelphia Orchestra', 'Corey Burton']",1940
Pinocchio,1940,100%,10.0,7.5,88.0,G,"['Animation', 'Adventure', 'Comedy']",157012,"['Norman Ferguson', 'T. Hee', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts', 'Ben Sharpsteen']","['Dickie Jones', 'Christian Rub', 'Mel Blanc', 'Don Brodie']",1940
Snow White and the Seven Dwarfs,1937,97%,9.7,7.6,83.0,Approved,"['Animation', 'Adventure', 'Family']",212076,"['William Cottrell', 'David Hand', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']","['Adriana Caselotti', 'Harry Stockwell', 'Lucille La Verne', 'Roy Atwell']",1930
